SECCION_CO,LOTES,PREDIOS,UCensales,RazonUnidx,DifUC_Pred
54518300104,218,216,241,1.1,25.0
54518300105,92,88,98,1.1,10.0
54518300201,121,121,118,1.0,-3.0
54518300202,109,106,124,1.2,18.0
54518300203,883,848,314,0.4,-534.0
54518300204,420,432,252,0.6,-180.0
54518300205,426,421,344,0.8,-77.0
54518300301,94,93,122,1.3,29.0
54518300302,130,130,144,1.1,14.0
54518300303,162,153,137,0.9,-16.0
54518300304,34,34,35,1.0,1.0
54518300305,136,137,185,1.4,48.0
54520300101,117,145,227,1.6,82.0
54520300102,200,197,220,1.1,23.0
54520300103,239,218,264,1.2,46.0
54520300104,330,313,419,1.3,106.0
54520300201,438,438,369,0.8,-69.0
54520300202,255,251,311,1.2,60.0
54520300203,91,94,117,1.2,23.0
54520300204,256,226,255,1.1,29.0
54553300101,262,395,193,0.5,-202.0
54553300102,81,81,136,1.7,55.0
54599300101,288,311,416,1.3,105.0
54599300102,151,152,196,1.3,44.0
54599300103,276,281,333,1.2,52.0
54599300104,467,491,593,1.2,102.0
54660300101,235,239,338,1.4,99.0
54660300102,126,129,211,1.6,82.0
54660300103,6,6,14,2.3,8.0
54660300104,4,4,9,2.3,5.0
54660300105,4,4,13,3.3,9.0
54660300201,227,232,350,1.5,118.0
54660300202,27,27,35,1.3,8.0
54660300203,111,113,155,1.4,42.0
54660300204,71,73,112,1.5,39.0
54660300205,4,4,4,1.0,0.0
54660300206,29,30,36,1.2,6.0
54660300207,5,5,7,1.4,2.0
54660300301,3,3,5,1.7,2.0
54660300302,31,32,39,1.2,7.0
54660300303,1,2,4,2.0,2.0
54660300304,2,2,3,1.5,1.0
